planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
lama,QSAT,0,28,level_00_seed_028,4.52,18133,208
lama,QSAT,0,21,level_00_seed_021,4.64,42074,392
lama,QSAT,0,11,level_00_seed_011,5.42,102813,450
lama,QSAT,3,16,level_03_seed_016,6.56,180268,154
lama,QSAT,2,24,level_02_seed_024,4.44,54064,824
lama,QSAT,1,22,level_01_seed_022,4.6,54413,274
lama,QSAT,3,4,level_03_seed_004,6.13,160373,344
lama,QSAT,3,11,level_03_seed_011,4.76,61558,300
lama,QSAT,0,29,level_00_seed_029,4.87,65873,232
lama,QSAT,3,6,level_03_seed_006,7.02,139060,316
lama,QSAT,1,3,level_01_seed_003,5.24,66375,136
lama,QSAT,3,25,level_03_seed_025,4.32,37876,296
lama,QSAT,2,29,level_02_seed_029,5.34,108051,640
lama,QSAT,1,12,level_01_seed_012,4.36,17879,244
lama,QSAT,2,5,level_02_seed_005,5.92,142797,300
lama,QSAT,4,0,level_04_seed_000,8.93,295173,376
lama,QSAT,2,23,level_02_seed_023,4.93,54195,252
lama,QSAT,3,1,level_03_seed_001,8.73,331390,336
lama,QSAT,4,23,level_04_seed_023,23.7,1059533,418
lama,QSAT,1,11,level_01_seed_011,4.55,45314,724
lama,QSAT,4,10,level_04_seed_010,21.34,896513,348
lama,QSAT,2,9,level_02_seed_009,5.06,73850,228
lama,QSAT,1,26,level_01_seed_026,4.58,52017,258
lama,QSAT,4,16,level_04_seed_016,28.43,1375635,184
lama,QSAT,1,27,level_01_seed_027,4.98,66458,272
lama,QSAT,1,29,level_01_seed_029,4.8,51416,268
lama,QSAT,1,20,level_01_seed_020,4.41,44732,442
lama,QSAT,1,8,level_01_seed_008,4.54,24149,256
lama,QSAT,0,15,level_00_seed_015,4.65,36580,180
lama,QSAT,0,14,level_00_seed_014,5.11,57638,118
lama,QSAT,1,17,level_01_seed_017,5.17,77064,140
lama,QSAT,1,7,level_01_seed_007,4.29,22614,386
lama,QSAT,0,25,level_00_seed_025,5.34,107797,852
lama,QSAT,3,24,level_03_seed_024,4.88,69378,280
lama,QSAT,0,24,level_00_seed_024,4.61,25883,132
lama,QSAT,4,25,level_04_seed_025,23.49,1091753,192
lama,QSAT,0,1,level_00_seed_001,4.63,48881,422
lama,QSAT,4,27,level_04_seed_027,30.29,1481189,412
lama,QSAT,2,13,level_02_seed_013,4.9,65607,288
lama,QSAT,2,0,level_02_seed_000,4.5,36536,236
lama,QSAT,1,6,level_01_seed_006,4.44,21720,196
lama,QSAT,0,17,level_00_seed_017,4.72,45357,124
lama,QSAT,3,17,level_03_seed_017,4.69,53082,268
lama,QSAT,4,26,level_04_seed_026,30.25,1400777,738
lama,QSAT,0,18,level_00_seed_018,5.06,87211,236
lama,QSAT,3,14,level_03_seed_014,4.07,24224,516
lama,QSAT,4,28,level_04_seed_028,39.48,1947190,194
lama,QSAT,1,1,level_01_seed_001,5.48,94932,272
lama,QSAT,2,21,level_02_seed_021,5.58,116581,296
lama,QSAT,3,18,level_03_seed_018,5.58,120702,350
lama,QSAT,0,6,level_00_seed_006,5.14,105370,784
lama,QSAT,0,23,level_00_seed_023,4.62,49630,460
lama,QSAT,2,7,level_02_seed_007,5.06,74087,148
lama,QSAT,4,8,level_04_seed_008,10.46,401711,356
lama,QSAT,0,16,level_00_seed_016,4.94,34387,180
lama,QSAT,4,17,level_04_seed_017,18.38,794330,188
lama,QSAT,1,0,level_01_seed_000,5.06,88018,534
lama,QSAT,4,2,level_04_seed_002,10.68,341417,366
lama,QSAT,2,3,level_02_seed_003,4.63,61926,260
lama,QSAT,1,2,level_01_seed_002,4.44,33263,446
